,entity,frequency
18377,14th july,2
18378,morning,18
18379,5,90
18380,the weekend,4
18381,leukaemiacareuk,4
18382,ebmt19,4
18383,frankfurt,3
18384,second,124
18385,globonc,1
18386,baseline pet ct,1
18387,12,77
18388,scan,4
18389,oregon,4
18390,may 18th,1
18391,ucsdhealth,1
18392,jeff_sharman wvcancer,3
18393,this week,74
18394,tom kipps,4
18395,the united state,16
18396,next friday april 5,1
18397,marie josé,1
18398,sct v allogeneic,1
18399,sct,7
18400,yesterday,38
18401,calgb,1
18402,70603,1
18403,mdm2,5
18404,mdm4,2
18405,145p,1
18406,recent good full year 2018,1
18407,dr tanya siddiqi,3
18408,an amazing year,1
18409,one,163
18410,this morning,43
18411,kuw,2
18412,cgoodinson_fs kwebb_lsa,1
18413,today,361
18414,2024,8
18415,eu,180
18416,researcher jennifer,1
18417,9,58
18418,6 month,13
18419,ebmt19,4
18420,cr,5
18421,cri 37,1
18422,78,5
18423,64,2
18424,91,3
18425,nccn guideline,5
18426,2 2019,4
18427,ebmt19,4
18428,últimos,1
18429,medida,1
18430,mascarasluchalibreraison luchalibrechilena,1
18431,3111,19
18432,25,22
18433,24,20
18434,2 75p,1
18435,christian,3
18436,pakistan,3
18437,pbc,1
18438,dr paraneswaran venugopal,1
18439,3 11,1
18440,earlier this week,5
18441,puertadeh iisaragon gvadrpeset iconoticies,1
18442,iislafe,2
18443,tomorrow,85
18444,los investigadores esperan,1
18445,al comprender,1
18446,deteriora la función de la médula ósea,1
18447,la,7
18448,linfocitica crónica,3
18449,mejorar la función de la médula ósea,1
18450,64,2
18451,91,3
18452,85 91,1
18453,congrats,1
18454,magnus björkholm,1
18455,isal2019,1
18456,mmsm mpnsm,3
18457,sick w cll,1
18458,czech,5
18459,today,361
18460,annual,95
18461,dr susan o brien,8
18462,dr javier pinilla,2
18463,2018,117
18464,more than 20,2
18465,today,361
18466,650 000,1
18467,41,4
18468,jennifer woyach,10
18469,ian w flinn,3
18470,september,35
18471,the date 19th to 21st september,1
18472,2019,142
18473,endinburgh scotland international confererence for organisation,1
18474,8th april,1
18475,2019,142
18476,5,90
18477,this morning,43
18478,first,477
18479,21,22
18480,mirtazapine pml cll,1
18481,14 year old,1
18482,african american,2
18483,cllsa,3
18484,sbiz,1
18485,kape vnh,1
18486,tpk,1
18487,neil kay kras,1
18488,12,77
18489,cd19,92
18490,david lauder s,1
18491,american,82
18492,bryan airport plane,1
18493,cll,1030
18494,brazosvalley brazos,1
18495,2nd,51
18496,pinilla,4
18497,90,23
18498,cll,1030
18499,today,361
18500,12pm 1pm pst,1
18501,paradigmmedcom,1
18502,this week,74
18503,44 month,1
18504,0 1,5
18505,duvelisib new,1
18506,idelalisib duvelisib,2
18507,wang,7
18508,two,149
18509,199,34
18510,1,256
18511,sll,337
18512,only 2 week,4
18513,allsm amlsm cllsm mmsm lymsm,1
18514,14 july,1
18515,cll chileluchalibre presenta inicio de temporada,1
18516,2019,142
18517,pml cll,1
18518,yesterday,38
18519,tonight,51
18520,2 1 tonight,1
18521,xbi cll,1
18522,yesterday,38
18523,uk stock news w,1
18524,19,519
18525,this week,74
18526,jdg kape,1
18527,tm17,1
18528,trb ztf scs w,1
18529,22,20
18530,2019,142
18531,3,390
18532,lymsm,25
18533,rituximab,139
18534,this week,74
18535,transcription,21
18536,tim,1
18537,nkp30,2
18538,sharifian ra abediankenari s asgarian omran h,1
18539,nkp30,2
18540,molecule3,1
18541,nhl,108
18542,janssenus genentech,1
18543,vls aewu,1
18544,pmg lsai mto,1
18545,some day,3
18546,kamala maddali,1
18547,boston,7
18548,5,90
18549,john,34
18550,first,477
18551,1991,4
18552,dr christina westmose yde,1
18553,tp53,94
18554,fda,889
18555,edinburgh scotland press,1
18556,cll,1030
18557,10 1158,1
18558,2159,1
18559,18 1119,1
18560,two,149
18561,abbvieuk,3
18562,two,149
18563,discovery cllsm,1
18564,ericberry,1
18565,2014,26
18566,recent season,1
18567,janrynne cllireland cllsociety,1
18568,10,90
18569,3,390
18570,cll,1030
18571,il10,1
18572,mid week,1
18573,yourwarwick warwickuni warwickey,1
18574,three day,5
18575,tonight,51
18576,abbvieuk,3
18577,ucb_news,1
18578,199,34
18579,cll,1030
18580,joseph,2
18581,the year,28
18582,flasco_org,2
18583,mto,1
18584,mtc,1
18585,bur,1
18586,sse,1
18587,ehg rfx rws,1
18588,tuesday march 19 2019,1
18589,12 00 pm 1 00 pm pst,1
18590,3 4 pm est,1
18591,me2929,1
18592,jonathonbcohen,2
18593,kerry,13
18594,chris,14
18595,william wierda,17
18596,mdandersonnews cll,1
18597,basiert auf der entsprechenden,1
18598,2018,117
18599,erschienen,1
18600,cd38,19
18601,sudanese,2
18602,2027,14
18603,300 000,1
18604,2018,117
18605,sll,337
18606,august 2021 to december 2020,1
18607,rituximab cancer,1
18608,pi3 kinase inhibitor autoimmune toxicity,1
18609,matthew s,6
18610,david md mmsc,5
18611,lee swanson,3
18612,interview dr adrian wiestner,1
18613,nih_nhlbi,2
18614,rituximab zuckersom cllsociety cll,1
18615,genentech,81
18616,fda,889
18617,pi3 kinase inhibitor idelalisib duvelisib,1
18618,about one,5
18619,deborah,6
18620,monday,17
18621,obinutuzumab venclexta,1
18622,fifth,6
18623,780 foot,1
18624,durkan,1
18625,cambridge,1
18626,friday,29
18627,ny presbyterian columbia,1
18628,hundred,3
18629,houston,9
18630,saturday,21
18631,16,22
18632,acute myeloid,4
18633,cd20,38
18634,cll,1030
18635,jacqueline barrientos,5
18636,md m discuss emerge,1
18637,today,361
18638,one,163
18639,this year,54
18640,ldnont communitylivinglondon,1
18641,afternoon,9
18642,2plus2,1
18643,yourwarwick cll,1
18644,10,90
18645,mzl,10
18646,the day,16
18647,dr george follow cuh_nhs,1
18648,cd20,38
18649,roche s,22
18650,roche,68
18651,fda,889
18652,fifth,6
18653,healthcare,9
18654,attentionmine crypto erc20 utilitytoken freecrypto earncrypto,2
18655,cll,1030
18656,attentionmine crypto erc20 utilitytoken freecrypto earncrypto,2
18657,journal cllsm,1
18658,cd20,38
18659,roche hold ltd rog,1
18660,genentech,81
18661,101,15
18662,today,361
18663,um_radyfhs,1
18664,3,390
18665,dr javier pinilla ibarz,3
18666,1 day,4
18667,alex trebek,1
18668,4,163
18669,alex every,1
18670,genentech,81
18671,roche,68
18672,six,8
18673,3 7 19,1
18674,the u s food,1
18675,abbv abbvie,9
18676,3,390
18677,one,163
18678,john,34
18679,3,390
18680,pharma news,3
18681,mm,21
18682,abbv file press,1
18683,march 07 08,1
18684,46 00,1
18685,3,390
18686,3,390
18687,un,89
18688,3,390
18689,rhhby file press,1
18690,38 00,1
18691,fda,889
18692,dean howe,1
18693,rmp,1
18694,spx,2
18695,today,361
18696,tctm19,4
18697,tomorrow night,3
18698,first,477
18699,second,124
18700,cathy wu,2
18701,tumour19,1
18702,barbara merrill,1
18703,scott,1
18704,73 year old,3
18705,jacquelinebarrientos discuss emerge,1
18706,zuckersom cllsociety cll,1
18707,pi3,4
18708,icgt cll park afx,1
18709,20 23,1
18710,1,256
18711,richter s,9
18712,african american,2
18713,two,149
18714,23rd,7
18715,congress,25
18716,september,35
18717,arzerra gazyva,1
18718,c_imt,2
18719,abbvieuk cllsm,1
18720,zuckersom lmcongress,1
18721,march 9,1
18722,portland,8
18723,march 16,1
18724,91 000,1
18725,basicattentiontoken,1
18726,three,79
18727,14th july,2
18728,w cll,21
18729,susan o brien,9
18730,corona,4
18731,cll,1030
18732,84,10
18733,44,6
18734,100,50
18735,22,20
18736,elevate igm,1
18737,combine ibrutinib,1
18738,ci pharma,1
18739,500,11
18740,10,90
18741,sharma s et al,1
18742,last six month,1
18743,nick york,3
18744,nccn update clinical practice guideline,1
18745,first,477
18746,david wierda,1
18747,sct,7
18748,david gotoper,1
18749,cahill emma,1
18750,cuh_cork,2
18751,moriarty,1
18752,17p,159
18753,rituximab,139
18754,michael kneba,1
18755,the university of kiel,1
18756,many year,9
18757,april 5 6,1
18758,dr spencer gibson phd section head,1
18759,6 8am,1
18760,cll,1030
18761,1e,1
18762,cll,1030
18763,tomorrow,85
18764,2,415
18765,irishcancerreg crf_cork,1
18766,almost two year ago,1
18767,cll,1030
18768,anterior chamber fibrinoid syndrome after,1
18769,7 000,1
18770,today,361
18771,february 2008,1
18772,the age of 28,1
18773,march 1st,4
18774,a day three year ago,1
18775,diagnosisday,1
18776,cllsm cll,2
18777,march 14,1
18778,less than 200 000,1
18779,april 29,1
18780,abbvie cll,1
18781,cll gvhd,1
18782,3,390
18783,1912,1
18784,1130,4
18785,196a2,1
18786,rs11614913,1
18787,egyptian,2
18788,the last day of february each year,1
18789,9 1 billion,1
18790,2027,14
18791,el hijo del querido,1
18792,juan carlos landa carpio,1
18793,this month,15
18794,laura_em4,1
18795,dr elías,1
18796,otin,2
18797,spain,15
18798,10 000,4
18799,jennifer l crombie,1
18800,jennifer r brown,3
18801,08 february 2019,1
18802,canadian,28
18803,first,477
18804,andrew schorr,4
18805,motherboard sacjai,1
18806,5 year,45
18807,oregon,4
18808,march 9 register,1
18809,three,79
18810,today,361
18811,jonathonbcohen of,1
18812,cll,1030
18813,cme cne expire,1
18814,cart19 1,1
18815,cd19,92
18816,pan btk,1
18817,at least one,37
18818,spring,3
18819,wang,7
18820,first,477
18821,fbxw7,1
18822,today,361
18823,doc s,1
18824,md columbia,1
18825,ash2018,6
18826,seattle,3
18827,alemtuzumab campath,1
18828,1h,2
18829,10 percent,1
18830,the united state,16
18831,tctm19,4
18832,notch1,40
18833,2 000,1
18834,100,50
18835,freecrypto,2
18836,playbook smart patient get smart care,1
18837,jeff,32
18838,md,24
18839,allosct nice,1
18840,hello ggiacomelli,1
18841,goldtigers2019,1
18842,first,477
18843,70 80,1
18844,tctm19,4
18845,tctm19,4
18846,tctm2019,1
18847,jordan,2
18848,tctm2019 2,1
18849,houston,9
18850,btk inhibitor base,1
18851,john seymour,19
18852,dublin,5
18853,this morning,43
18854,nurse,1
18855,14jul,1
18856,4 0,3
18857,kambhampati md,2
18858,2018,117
18859,cll,1030
18860,philip thomson,1
18861,tx,5
18862,barbara andersen asc,1
18863,charlotte,2
18864,portland houston,1
18865,minneapolis boston,1
18866,new york,20
18867,san diego,12
18868,tiptuesday,1
18869,glaxosmithkline roche,1
18870,johnson,16
18871,cd99,1
18872,dr angeles,1
18873,garcia pardo,1
18874,today,361
18875,haben sich dank,1
18876,cll jcar014,1
18877,peter hillman,2
18878,third,20
18879,compare w,1
18880,cll,1030
18881,sarahcannon_uk,1
18882,cll bei älteren,1
18883,87,6
18884,2,415
18885,jahren noch ohne,1
18886,february,7
18887,the scripps research institute,1
18888,kambhampati md,2
18889,obinutuzumab gazyva,10
18890,quarterly,2
18891,ash2018,6
18892,juan sebastian,1
18893,liselotte ponce,1
18894,a few hour,2
18895,doagrouchafavorday,1
18896,7 year,5
18897,pik3,1
18898,dr jeff,20
18899,17p,159
18900,anthonymatomd share news,1
18901,orgueira,1
18902,natalia,3
18903,ángel díaz,1
18904,aria nicolás,1
18905,marta,1
18906,week,8
18907,nhl,108
18908,postdoc,7
18909,julesbordet,1
18910,belgium,2
18911,abg_asso,1
18912,mcaa_de maascc_pasteur,1
18913,eurodoc mcaabenelux,1
18914,great day,2
18915,60th,4
18916,congress,25
18917,13 19,1
18918,12 month,10
18919,carl,3
18920,update ebmt eha_hematology 1st,1
18921,mdpijcm psoas,1
18922,cll lymsm,14
18923,急性骨髄性白血病 acute,1
18924,myeloid,56
18925,cml 急性リンパ性白血病 acute,1
18926,william g,12
18927,medscapeedu w mollie moran,1
18928,ca_mdanderson william,1
18929,md phd,30
18930,mohc19,2
18931,william wierda,17
18932,md phd,30
18933,mohc19,2
18934,2019,142
18935,2 05pm,1
18936,dr william wierda,9
18937,wwierda c,1
18938,ada,3
18939,fdapatientinfo patientreporter,1
18940,how_college,1
18941,cd19,92
18942,jcar014,4
18943,valentinesday2019,1
18944,yesterday,38
18945,today,361
18946,mpc2019,1
18947,2 day earlier,1
18948,bloodwise_uk,11
18949,samheughan,1
18950,ulm,1
18951,hermano seria de gran,1
18952,un,89
18953,neceista la,1
18954,17p,159
18955,fpetrocelli hermano seria de gran,1
18956,cienciasmedicasnews,1
18957,british journal of haematology geriheme,1
18958,gerionc cllsm,1
18959,la journée,1
18960,la,7
18961,akademiforums tema ikväll är,1
18962,hashtags lär vara,1
18963,jonathan cohen,1
18964,dr kerry,2
18965,newnprot andy_duckworth et al,1
18966,several hour,1
18967,60th,4
18968,371,1
18969,pakistan,3
18970,india,38
18971,2019,142
18972,2025,22
18973,jess_l81 on,1
18974,soirée bonne,1
18975,cll,1030
18976,cll,1030
18977,sll,337
18978,imbruvica,166
18979,the hardell group,1
18980,1995,2
18981,16th,3
18982,european,47
18983,mannheim,1
18984,imbruvica,166
18985,pueden ayudar,1
18986,difundirlo,1
18987,difundir esto soyvicsensa gabo_boys nelsonelprincee,1
18988,today,361
18989,israel,5
18990,rdt asai lvcg cru,1
18991,dr cohen,2
18992,cll,1030
18993,cd19,92
18994,cll w lindsey roeker,1
18995,fda,889
18996,imbruvica,166
18997,obinutuzumab gazyva,10
18998,sll,337
18999,con todo,1
19000,el pawaaaa cll,1
19001,hospitalsantpau ash_hematology,1
19002,tobyeyre82 drraulcordoba,1
19003,venetoclax rituximab,34
19004,john terry,10
19005,26,16
19006,jt26 cfc,1
19007,utc cll,1
19008,5 yr ago this month,1
19009,bez,1
19010,3,390
19011,third,20
19012,europe pmc,3
19013,article europe pmc,3
19014,europe pmc,3
19015,article europe pmc,3
19016,interview dr anthony mato,1
19017,nearly 100,1
19018,friday,29
19019,london,22
19020,lauren thurgood,1
19021,today,361
19022,mascot brian,2
19023,2018,117
19024,rituximab produce,3
19025,first,477
19026,mascot brian,2
19027,week,8
19028,eaccme,1
19029,cme,13
19030,mcgreevy1993 jess_l81,1
19031,warwickey mascot warwickstory wellbeingpets,1
19032,age 70 year,4
19033,md anderson s paolo,1
19034,2018,117
19035,one,163
19036,two,149
19037,first,477
19038,sll,337
19039,1,256
19040,101,15
19041,9 year ago,3
19042,quoteoftheday,1
19043,4 leukaemiacareuk morning,1
19044,friday,29
19045,elías campo title,1
19046,next friday february 8,1
19047,800,1
19048,12 00h,1
19049,nccn guideline,5
19050,2 2019,4
19051,theor,1
19052,the ohio state university medical center,1
19053,2018,117
19054,för,14
19055,7,49
19056,ada,3
19057,only 4 year old,1
19058,mayo clinic,3
19059,janssen s imbruvica,11
19060,genentech,81
19061,sll,337
19062,janssen imbruvica cll,1
19063,fda,889
19064,obinutuzumab,114
19065,1st,83
19066,second,124
19067,iwcll2019,13
19068,30 april 2019,1
19069,today,361
19070,uk,64
19071,li,1
19072,worldcancerday2019,2
19073,more than 240 000,1
19074,worldcancerday2019,2
19075,2019,142
19076,2025,22
19077,umbralisib ibrutinib abbv,1
19078,un,89
19079,el meu granet de sorra,1
19080,la cll,1
19081,a few day,4
19082,tonight,51
19083,tomorrow night,3
19084,wednesday,10
19085,worldcancerday,9
19086,sf3b1,24
19087,jonathonbcohen,2
19088,18th century,1
19089,night,11
19090,3,390
19091,gwisgwch esgidiau,1
19092,dim bin,1
19093,sf3b1,24
19094,venetoclax rituximab,34
19095,dr marc hoffmann,1
19096,9 11,3
19097,robert preidt,1
19098,572,1
19099,saturday march 2nd,1
19100,2 march,1
19101,janssenus cll,1
19102,2018,117
19103,annual,95
19104,aml cll,2
19105,nsclc cll aml,1
19106,obinutuzumab base,1
19107,dr nasta quiz,1
19108,2019,142
19109,over 40 000 hour,1
19110,1900,1
19111,mm aml hemato,1
19112,tonight,51
19113,the last 10 minute,1
19114,andrew brunner,1
19115,massachusetts general hospital,1
19116,mary ellen schneider,1
19117,hematology news,1
19118,7pmest,1
19119,10 minute,3
19120,sf3b1,24
19121,cll,1030
19122,just 4 hour,1
19123,2,415
19124,another day,4
19125,cll,1030
19126,ohio state fund,1
19127,140,16
19128,two,149
19129,anthonymatomd,19
19130,k3c,2
19131,mer ehg bbgi,1
19132,tpk fccn,1
19133,danielle,9
19134,first,477
19135,sll,337
19136,fda,889
19137,1 day,4
19138,7 p m,2
19139,first,477
19140,anna,9
19141,uniofoxford hospital,1
19142,postash2019,1
19143,obinutuzumab,114
19144,first,477
19145,the 1970s,1
19146,birc3,10
19147,pharmd phd,1
19148,fda,889
19149,sll,337
19150,johnson,16
19151,imbruvica s cll,5
19152,first,477
19153,w lindsey roeker,1
19154,the u s fda,10
19155,first,477
19156,sll,337
19157,about one third,2
19158,first,477
19159,cathy hamilton,1
19160,brian hill,4
19161,dr anthony mato,4
19162,7 pm,1
19163,1 31,2
19164,fda,889
19165,obinutuzumab cll,4
19166,sll,337
19167,us,45
19168,obinutuzumab,114
19169,two,149
19170,obinutuzumab,114
19171,first,477
19172,fda,889
19173,sll,337
19174,sll,337
19175,johnson,16
19176,imbruvica s cll,5
19177,4 day,2
19178,first,477
19179,iwillin chroniclymphoceticleukemia,1
19180,fda,889
19181,icymi dr imran,1
19182,khan,2
19183,one,163
19184,sll imbruvica gazyva indicate,1
19185,eps_unibham unibirmingham ljmu,1
19186,sygnaturediscov apconixltd,1
19187,winterbournehg,1
19188,more than 50 year later,1
19189,today,361
19190,2,415
19191,jan 31,1
19192,sll,337
19193,sll imbruvica gazyva lymsm,2
19194,first,477
19195,10th,6
19196,roche s,22
19197,first,477
19198,une diplômée du cll,1
19199,first,477
19200,fda,889
19201,imbruvica,166
19202,obinutuzumab gazyva,10
19203,sll,337
19204,xsr362 cll college,1
19205,santa ana,1
19206,0 2,5
19207,2575,23
19208,70 9,1
19209,181 8mi,1
19210,09,2
19211,42 42,1
19212,fda,889
19213,sll imbruvica gazyva lymsm,2
19214,1968,3
19215,a breakthrough year,2
19216,sll,337
19217,fda,889
19218,s imbruvica,2
19219,roche s gazyva obinutuzumab,1
19220,autoimmune,12
19221,first,477
19222,idelalisib ideally,1
19223,obinutuzumab gazyva,10
19224,first,477
19225,fda,889
19226,u s fda,35
19227,obinutuzumab,114
19228,first,477
19229,abbv s imbruvica obinutuzumab,1
19230,lucha,8
19231,1st,83
19232,first,477
19233,imbruvica,166
19234,fda,889
19235,obinutuzumab gazyva,10
19236,sll,337
19237,u s fda,35
19238,obinutuzumab,114
19239,rituximab lead,2
19240,horsham pa,1
19241,jan 28 2019,1
19242,u s fda,35
19243,obinutuzumab,114
19244,first,477
19245,sll,337
19246,obinutuzumab gazyva,10
19247,sll,337
19248,sll,337
19249,jnj fda,1
19250,1st,83
19251,three,79
19252,10k,3
19253,duvelisib,18
19254,ya nos encontramos,1
19255,el ambiente veraniego de summerfest de chileluchalibre luchalibrechile wrestle luchalibrechilena,1
19256,65,20
19257,just 25,1
19258,duvelisib,18
19259,brian koffman,17
19260,january 31,1
19261,2 week,8
19262,knowyournodes lymphomaaware,1
19263,jean koff,1
19264,north american,5
19265,cll,1030
19266,anthonymatomd,19
19267,valeria,1
19268,many year,9
19269,cll2,11
19270,obinutuzumab ga101,4
19271,this week,74
19272,félicitations à anne sophie paquet diplômée en,1
19273,cll qui,1
19274,2e,3
19275,tonight,51
19276,newcastle,1
19277,first,477
19278,cll,1030
19279,dr helen marr,1
19280,rituximab cll,5
19281,gutbacteria,1
19282,notch1,40
19283,jordanian,1
19284,31 december,1
19285,chronische,2
19286,cll,1030
19287,april 27th,2
19288,thursday,25
19289,january,5
19290,cll,1030
19291,bgb324,1
19292,la journée de l intelligence artificielle,1
19293,termine avec une discussion,1
19294,belle,3
19295,un beau,1
19296,thursday,25
19297,1 31,2
19298,marriott cll,1
19299,this morning,43
19300,cll,1030
19301,george follow,6
19302,hematology hodgkin drugaccess,1
19303,ncbi,27
19304,dis sdrc,1
19305,pson anii rdsa,1
19306,ifp pca,1
19307,mer,1
19308,jeff_sharman anthonymatomd,1
19309,age 45,1
19310,age 51,1
19311,dozen,2
19312,indiana,1
19313,cnn,3
19314,w anthonymatomd,2
19315,february,7
19316,lien,2
19317,alter expression,1
19318,today,361
19319,17q 12p,1
19320,tp53,94
19321,study evaluate btk inhibitor,1
19322,w jennifer,2
19323,6 day,1
19324,new zealand,3
19325,dis thrl,1
19326,csn,1
19327,10,90
19328,postdoc,7
19329,masaryk university czech republic,1
19330,nccn guideline,5
19331,2 2019,4
19332,sll,337
19333,2018,117
19334,year,25
19335,2018,117
19336,year,25
19337,tp63,1
19338,november 18th 2018,1
19339,the hard day,1
19340,osso bucco,1
19341,last night,10
19342,50 year old,2
19343,first,477
19344,12,77
19345,san diego,12
19346,today,361
19347,rituximab,139
19348,at least one,37
19349,nccn guideline,5
19350,2 2019,4
19351,washington,4
19352,today,361
19353,3 5 pm est,1
19354,tweeteaba ayer,1
19355,el grupo alemán también lo tiene claro,1
19356,md anderson,21
19357,thousand,3
19358,5,90
19359,loyola oncologist,1
19360,scott smith,1
19361,md phd,30
19362,this saturday,7
19363,19,519
19364,65,20
19365,cryptoliveleak crypto erc20,1
19366,david,10
19367,this month,15
19368,mk2206,1
19369,4imprint,1
19370,berlin,3
19371,europe,61
19372,recent year,5
19373,cyc065,1
19374,125,4
19375,doelgerichte therapie,1
19376,gebruik lee,1
19377,leukemie therapie geneeskunde,1
19378,this summer,8
19379,mmsm,10
19380,asco ascoreadingroom,1
19381,w briankoffman,1
19382,the next couple year,1
19383,don,76
19384,onkologie 2007,1
19385,30 11 564 6,1
19386,2007,5
19387,16,22
19388,31st january,1
19389,2019,142
19390,this week,74
19391,2l,3
19392,more than 2 500,1
19393,canada,55
19394,the past month,1
19395,nhl,108
19396,1 2a,1
19397,w christopher,1
19398,don,76
19399,majic100ottawa,1
19400,monoallelic tp53,1
19401,67,9
19402,50,30
19403,ncbi,27
19404,the new england journal of medicine nejm,1
19405,sll,337
19406,gs9973,1
19407,roc,3
19408,israel,5
19409,sll,337
19410,cd31,1
19411,around 3 500,1
19412,4 000,2
19413,every year,6
19414,the last 20 year,1
19415,360,5
19416,alliance_org,6
19417,yesterday,38
19418,cll cll,12
19419,dr susan leclair,4
19420,drraulcordoba,4
19421,nejm publish,1
19422,dr jennifer,10
19423,anna,9
19424,richard,11
19425,weillcornell answer patient,1
19426,83,9
19427,daily,35
19428,lymsm,25
19429,lancet,18
19430,jan 2019,1
19431,2,415
19432,umbralisib,3
19433,1,256
19434,9 year old,1
19435,less than 6,2
19436,johnson,16
19437,md phd,30
19438,villa álvarez m sordo bahamonde,1
19439,gonzalez garcia e villa álvarez,1
19440,cll cll,12
19441,commencez l année,1
19442,info,4
19443,sll,337
19444,duvelisib monotherapy,1
19445,illuminate w barbara,1
19446,monday,17
19447,copiktra induce,1
19448,ea9161,1
19449,cll,1030
19450,first sunday of the year,1
19451,lymsm cllsm cll,1
19452,first,477
19453,lymsm cllsm bmtsm,1
19454,igk,1
19455,ccnd1,5
19456,lymsm lessismore,1
19457,baliakas et al,1
19458,eric grp,1
19459,5500,1
19460,cancer journal cllsm,1
19461,mmsm,10
19462,cll,1030
19463,mm,21
19464,anthonymatomd cll,3
19465,2018,117
19466,myeloma lymsm,1
19467,new york,20
19468,daily,35
19469,rituximab v fludarabine,2
19470,70 year,3
19471,more than 70 000,1
19472,around 120,1
19473,every year,6
19474,factfriday,2
19475,west nile,1
19476,52yo,1
19477,kerry,13
19478,2011,11
19479,2019,142
19480,orr pfs,1
19481,2019,142
19482,eric international,4
19483,nih,31
19484,md,24
19485,2019,142
19486,eric international,4
19487,nih,31
19488,md,24
19489,dr kerry rogers cll,2
19490,osuwexmed state echo news,2
19491,dr kerry rogers cll,2
19492,osuwexmed state echo news,2
19493,two,149
19494,dr jeff,20
19495,first,477
19496,the spring of 2017,1
19497,day 1,3
19498,gduhem2019,2
19499,mpn md,1
19500,the morning,1
19501,new york,20
19502,several year,5
19503,several year,5
19504,today,361
19505,drbrown anthonymatomd,1
19506,9781493988754,1
19507,cll,1030
19508,kerry,13
19509,100,50
19510,jose martin,1
19511,2018_recap_may,1
19512,tonight,51
19513,the last 12 month,1
19514,cll w taitshanafelt,1
19515,t marsh sge cer,1
19516,more about one,2
19517,11 percent,1
19518,lymphoid neoplasm,1
19519,bestof2018,1
19520,cd19,92
19521,joseph melenhorst,1
19522,june,14
19523,at least 1,6
19524,5,90
19525,february,7
19526,hodgkin s,7
19527,dr kay,7
19528,about one third,2
19529,asco young,1
19530,two,149
19531,2da,4
19532,del unbox de kit de harry potter de cajas_cll cll,1
19533,malat1,1
19534,1 feb 2019,1
19535,several year,5
19536,sarah,4
19537,brad s,4
19538,md weigh,2
19539,2018,117
19540,san diego,12
19541,jlt tstl,1
19542,the last month,2
19543,jeff_sharman s,2
19544,w fatigue,1
19545,jan,5
19546,md phd,30
19547,10 year,11
19548,international physician s earn cpd,1
19549,john gribben,14
19550,anthony mato,16
19551,md msce,5
19552,chinese,16
19553,obinutuzumab,114
19554,dr jennifer r brown,1
19555,rituximab,139
19556,christmas,13
19557,jennifer brown,23
19558,anthonymatomd msce,1
19559,cll2,11
19560,obinutuzumab ga101,4
19561,1,256
19562,few day,1
19563,w venetoclax,2
19564,2018,117
19565,sa,2
19566,neufs mais,1
19567,cela n est,1
19568,la suivante,1
19569,eu,180
19570,bilan annuel de votre vie,1
19571,1,256
19572,venetoclax rituximab,34
19573,0,18
19574,nhl w jennifer,1
19575,fang american journal of hematology,1
19576,bqe,1
19577,lsai,1
19578,this week,74
19579,sciencejob,1
19580,jan burger,9
19581,2,415
19582,ash2018,6
19583,medicine drug,1
19584,cll,1030
19585,un,89
19586,qui,5
19587,7,49
19588,365 jours de ton,1
19589,la joie,1
19590,tu flirteras,1
19591,tu trinqueras,1
19592,avec la chance,1
19593,2027,14
19594,20112018,2
19595,3396,1
19596,2027summarychronic,2
19597,6,80
19598,xplosionoficial presenta desastre total,1
19599,jeff_sharman s,2
19600,one,163
19601,30 month,1
19602,swedish,15
19603,the university of glasgow,1
19604,debugliesnews,1
19605,watch day 3,1
19606,dr lamanna,5
19607,lee swanson,3
19608,53,6
19609,400,14
19610,2016 2026,5
19611,dr jennifer brown anthonymatomd,1
19612,mlc,1
19613,2018 2018,1
19614,2b,3
19615,yesterday,38
19616,the holiday season,2
19617,2018,117
19618,brad s,4
19619,md weigh,2
19620,san diego,12
19621,jackie broadway,3
19622,2018,117
19623,fda,889
19624,this year,54
19625,bsi s,1
19626,2 3,4
19627,5 day,4
19628,one two,1
19629,three,79
19630,nctn alliance_org study a041202,1
19631,age 65,3
19632,cll,1030
19633,lancet,18
19634,lancet,18
19635,1 1b,3
19636,oxford s churchill hospital,1
19637,phd,8
19638,shuai cll,1
19639,this week,74
19640,first,477
19641,this week,74
19642,w ian,1
19643,2003,4
19644,2013 2014,1
19645,jennifer woyach s ash2018,1
19646,age 65,3
19647,lee swanson,3
19648,venetoclax rituximab,34
19649,four,58
19650,mmsm ash_hematology,1
19651,this week,74
19652,this week,74
19653,natalie grover md,1
19654,12 19 18,1
19655,mmsm mbtsm,1
19656,this week,74
19657,悪性リンパ腫の一種マントル細胞リンパ腫 mcl の患者さんと慢性リンパ性白血病 cll,1
19658,の患者さんを対象とした アカラブルチニブ 製品名 カルクエンス,1
19659,dr lamanna,5
19660,3 year,17
19661,atlanta,8
19662,btkc481s,4
19663,35,12
19664,10,90
19665,cll przewlekła białaczka limfotyczna,1
19666,zamartwiam nie,1
19667,przejmuję,1
19668,tylko kontroluję,1
19669,1700,1
19670,16 4 month,1
19671,this year,54
19672,2,415
19673,12daysofla,1
19674,ccl3,4
19675,ccl4,1
19676,6,80
19677,rituximab ash18 ash2018,1
19678,two,149
19679,burger et al ibrutinib ritux,1
19680,venetoclax rituximab,34
19681,the last decade,8
19682,jeff_sharman vaccine,1
19683,hemonctoday,6
19684,prof kater,1
19685,obinutuzumab venetoclax,6
19686,mazyar shadman,7
